Predic Environment,startDate,endDate,sourceName,sourceVersion,decibel_level
dBASPL,2023-01-01 11:53:53-05:00,2023-01-01 11:56:13-05:00,Dhamari’s Apple Watch,9.1,57.1521
dBASPL,2023-01-01 12:10:23-05:00,2023-01-01 12:37:48-05:00,Dhamari’s Apple Watch,9.1,42.9611
dBASPL,2023-01-01 13:07:06-05:00,2023-01-01 13:07:36-05:00,Dhamari’s Apple Watch,9.1,45.3726
dBASPL,2023-01-01 13:28:27-05:00,2023-01-01 13:36:21-05:00,Dhamari’s Apple Watch,9.1,44.8312
dBASPL,2023-01-01 15:29:31-05:00,2023-01-01 15:59:21-05:00,Dhamari’s Apple Watch,9.1,42.8237
dBASPL,2023-01-01 15:59:21-05:00,2023-01-01 16:29:11-05:00,Dhamari’s Apple Watch,9.1,42.8464
dBASPL,2023-01-01 16:29:11-05:00,2023-01-01 16:59:01-05:00,Dhamari’s Apple Watch,9.1,43.2124
dBASPL,2023-01-01 16:59:01-05:00,2023-01-01 17:29:01-05:00,Dhamari’s Apple Watch,9.1,42.5062
dBASPL,2023-01-02 00:35:03-05:00,2023-01-02 01:04:58-05:00,Dhamari’s Apple Watch,9.1,45.3273
dBASPL,2023-01-02 01:04:58-05:00,2023-01-02 01:34:53-05:00,Dhamari’s Apple Watch,9.1,42.8289
dBASPL,2023-01-02 01:34:53-05:00,2023-01-02 02:04:53-05:00,Dhamari’s Apple Watch,9.1,42.7993
dBASPL,2023-01-02 02:04:53-05:00,2023-01-02 02:34:48-05:00,Dhamari’s Apple Watch,9.1,38.5523
dBASPL,2023-01-02 02:34:48-05:00,2023-01-02 03:04:43-05:00,Dhamari’s Apple Watch,9.1,36.066
dBASPL,2023-01-02 03:04:43-05:00,2023-01-02 03:34:38-05:00,Dhamari’s Apple Watch,9.1,37.7213
dBASPL,2023-01-02 03:34:38-05:00,2023-01-02 04:04:38-05:00,Dhamari’s Apple Watch,9.1,36.7896
dBASPL,2023-01-02 04:04:38-05:00,2023-01-02 04:34:38-05:00,Dhamari’s Apple Watch,9.1,37.8962
dBASPL,2023-01-02 04:34:38-05:00,2023-01-02 05:04:38-05:00,Dhamari’s Apple Watch,9.1,37.2668
